output,mean,std,q05,q25,q50,q75,q95,min,max
iteration1_keff,1.124963229526796,0.12693437990401593,0.9939287729756905,1.0794479618150268,1.1203960512200206,1.1606961555896027,1.2694424414293695,-2.854822564242384,4.732522778418598
iteration1_avg_fuel_temp,1018.5060608182821,17.124291967877117,1001.8561663003953,1006.9896274367313,1013.5991213878142,1025.1272449671285,1050.9016610234155,879.5023135998488,1202.4969154115302
iteration1_max_fuel_temp,1107.4497756972153,30.079300322994154,1076.9414385371708,1086.8613457710826,1099.54354059979,1119.836313040226,1163.3102091733397,887.3779308396638,1454.551471867485
iteration1_max_monolith_temp,1073.4041165453527,33.46348267452255,1039.4752876671166,1050.1779461498322,1063.8259405466424,1087.096343196213,1137.7127348897825,888.129345698589,1459.420195239179
iteration1_max_global_stress,199.79082227578192,69.54436096803401,105.60227979194438,145.0289248112113,189.26846106091656,243.98659339661967,327.2072920856137,52.02571018855244,658.8250187737923
iteration1_monolith_new_temperature,956.2135313253892,6.132757928690441,950.6601565831136,952.3510313708804,954.4540186862471,958.1873184743241,967.3479218878924,887.4670593570543,1064.608871014145
iteration1_Hcore_after,152.3005927903868,1.002272125927333,151.5946316301414,151.9713204764891,152.2320469696964,152.51860140902394,153.28319535734548,130.08645316783404,175.4493076526153
iteration1_wall2,29.91273727004433,0.035255960430394,29.85569551353929,29.88573917177046,29.91319850744742,29.939980629031073,29.96894450990011,29.767223968088224,30.101691553917643
iteration2_keff,1.1038156506708108,0.0016656925189583386,1.1016340559323017,1.1029827228328153,1.1038798741691644,1.1047829989761806,1.1058831323410592,1.0661397988769754,1.141394261812222
iteration2_avg_fuel_temp,1001.5705778781889,5.6202179944732045,994.5231247761845,997.4349271325513,1000.4737709677083,1004.605766071561,1012.3492413486193,989.5890005469987,1035.5083407035586
iteration2_max_fuel_temp,1075.7259208668183,10.680511023407112,1062.3895058292035,1067.8306111266718,1073.5672588793245,1081.5867011787657,1096.1786371929138,1051.2935623104333,1139.0398541454572
iteration2_max_monolith_temp,1037.9251613457945,11.92070355529935,1022.7675634932219,1029.1273016816044,1035.577471775569,1044.730965988631,1060.7543445892454,1011.4265684559754,1102.785562205489
iteration2_max_global_stress,156.63400317440465,48.53645925866345,88.7923345862988,117.63998698255173,150.19550951762807,190.82326199906723,245.01263805989177,52.421154400476354,318.66493660533325
iteration2_monolith_new_temperature,951.0009410505966,1.693659117968002,949.060489485061,949.7955712611811,950.5678863506768,951.8202679291038,954.3469726785083,947.7346336621218,963.2887660658142
iteration2_Hcore_after,152.27508894011862,0.5124064410854262,151.37848462978363,152.00886791747882,152.32400861957225,152.58170323984612,153.01089524241934,149.55118485270836,155.3915830095349
iteration2_wall2,29.9089974466694,0.03436228499625296,29.85453938427694,29.882146065478395,29.908971900633247,29.93562239784635,29.964287581386365,29.766495803771065,30.04540102952462
